one,two,three,four,five
800,引起,yǐn qǐ,"1. to give rise to
2. to lead to
3. to cause
4. to arouse
",33
801,弱,ruò,"1. weak
2. feeble
3. young
4. inferior
5. (following a decimal or fraction) slightly less than
",4
802,强烈,qiáng liè,"1. intense
2. (violently) strong
",24
803,强调,qiáng diào,"1. to emphasize (a statement)
2. to stress
",24
804,归纳,guī nà,"1. to sum up
2. to summarize
3. to conclude from facts
4. induction (method of deduction in logic)
",14
805,当代,dāng dài,"1. the present age
2. the contemporary era
",14
806,当初,dāng chū,"1. at that time
2. originally
",11
807,当前,dāng qián,"1. current
2. today's
3. modern
4. present
5. to be facing (us)
",12
808,当地,dāng dì,"1. local
",14
809,当场,dāng chǎng,"1. at the scene
2. on the spot
",13
810,当心,dāng xīn,"1. to take care
2. to look out
",11
811,当选,dāng xuǎn,"1. to be elected
",13
812,当面,dāng miàn,"1. to sb's face
2. in sb's presence
",14
813,录取,lù qǔ,"1. to recruit
2. to enroll
",43
814,录音,lù yīn,"1. to record (sound)
2. sound recording
3. CL:個|个[ge4]
",41
815,形势,xíng shì,"1. circumstances
2. situation
3. terrain
4. CL:個|个[ge4]
",24
816,形容,xíng róng,"1. to describe
2. description
3. appearance
4. look
",22
817,形式,xíng shì,"1. outer appearance
2. form
3. shape
4. formality
5. CL:個|个[ge4]
",24
818,形成,xíng chéng,"1. to form
2. to take shape
",22
819,形状,xíng zhuàng,"1. form
2. shape
3. CL:個|个[ge4]
",24
820,形象,xíng xiàng,"1. image
2. form
3. figure
4. CL:個|个[ge4]
5. visualization
6. vivid
",24
821,彩票,cǎi piào,"1. lottery ticket
",34
822,彩虹,cǎi hóng,"1. rainbow
2. CL:道[dao4]
",32
823,影子,yǐng zi,"1. shadow
2. reflection
3. CL:個|个[ge4]
",30
824,彻底,chè dǐ,"1. thorough
2. thoroughly
3. complete
",43
825,彼此,bǐ cǐ,"1. each other
2. one another
",33
826,往往,wǎng wǎng,"1. often
2. frequently
",33
827,往返,wǎng fǎn,"1. to go back and forth
2. to go to and fro
3. round trip
",33
828,征求,zhēng qiú,"1. to solicit
2. to seek
3. to request (opinions, feedback etc)
4. to petition
",12
829,待遇,dài yù,"1. treatment
2. pay
3. salary
4. status
5. rank
",44
830,很,hěn,"1. (adverb of degree)
2. quite
3. very
4. awfully
",3
831,得力,dé lì,"1. able
2. capable
3. competent
4. efficient
",24
832,得罪,dé zuì,"1. to commit an offense
2. to violate the law
3. excuse me! (formal)
4. see also 得罪[de2 zui5]
5. to offend somebody
6. to make a faux pas
7. a faux pas
8. see also 得罪[de2 zui4]
",24
833,微笑,wēi xiào,"1. smile
2. CL:個|个[ge4],絲|丝[si1]
3. to smile
",14
834,心情,xīn qíng,"1. mood
2. frame of mind
3. CL:個|个[ge4]
",12
835,心理,xīn lǐ,"1. mental
2. psychological
",13
836,心脏,xīn zàng,"1. heart
2. CL:顆|颗[ke1],個|个[ge4]
",14
837,必然,bì rán,"1. inevitable
2. certain
3. necessity
",42
838,必要,bì yào,"1. necessary
2. essential
3. indispensable
4. required
",44
839,念,niàn,"1. variant of 念[nian4], to read aloud
2. to read
3. to study (a subject)
4. to attend (a school)
5. to read aloud
6. to miss (sb)
7. idea
8. remembrance
9. twenty (banker's anti-fraud numeral corresponding to 廿, 20)
",4
840,忽然,hū rán,"1. suddenly
2. all of a sudden
",12
841,忽视,hū shì,"1. to neglect
2. to ignore
",14
842,怀孕,huái yùn,"1. pregnant
2. to have conceived
3. gestation
4. pregnancy
",24
843,怀念,huái niàn,"1. to cherish the memory of
2. to think of
3. reminisce
",24
844,态度,tài du,"1. manner
2. bearing
3. attitude
4. approach
5. CL:個|个[ge4]
",40
845,思想,sī xiǎng,"1. thought
2. thinking
3. idea
4. ideology
5. CL:個|个[ge4]
",13
846,思考,sī kǎo,"1. to reflect on
2. to ponder over
",13
847,怠慢,dài màn,"1. to slight
2. to neglect
",44
848,急忙,jí máng,"1. hastily
",22
849,急诊,jí zhěn,"1. emergency call
2. emergency (medical) treatment
",23
850,性别,xìng bié,"1. gender
2. sex
3. distinguishing between the sexes
",42
851,性格,xìng gé,"1. nature
2. disposition
3. temperament
4. character
5. CL:個|个[ge4]
",42
852,性质,xìng zhì,"1. nature
2. characteristic
3. CL:個|个[ge4]
",44
853,总之,zǒng zhī,"1. in a word
2. in short
3. in brief
",31
854,总共,zǒng gòng,"1. altogether
2. in sum
3. in all
4. in total
",34
855,总理,zǒng lǐ,"1. premier
2. prime minister
3. CL:個|个[ge4],位[wei4],名[ming2]
",33
856,总算,zǒng suàn,"1. at long last
2. finally
3. on the whole
",34
857,总结,zǒng jié,"1. to sum up
2. to conclude
3. summary
4. résumé
5. CL:個|个[ge4]
",32
858,总统,zǒng tǒng,"1. president (of a country)
2. CL:個|个[ge4],位[wei4],名[ming2],屆|届[jie4]
",33
859,总裁,zǒng cái,"1. chairman
2. director-general (of a company etc)
",32
860,恋爱,liàn ài,"1. (romantic) love
2. CL:個|个[ge4],場|场[chang3]
3. in love
4. to have an affair
",44
861,恢复,huī fù,"1. to reinstate
2. to resume
3. to restore
4. to recover
5. to regain
6. to rehabilitate
",14
862,恨,hèn,"1. to hate
2. to regret
",4
863,恩怨,ēn yuàn,"1. gratitude and grudges
2. resentment
3. grudges
4. grievances
",14
864,恭喜,gōng xǐ,"1. congratulations
2. greetings
",13
865,恶劣,è liè,"1. vile
2. nasty
3. of very poor quality
",44
866,恶化,è huà,"1. to worsen
",44
867,恶心,ě xīn,"1. variant of 惡心|恶心[e3 xin1]
2. nausea
3. to feel sick
4. disgust
5. nauseating
6. to embarrass (deliberately)
7. bad habit
8. vicious habit
9. vice
",31
868,悄悄,qiāo qiāo,"1. quietly
2. secretly
3. stealthily
4. quiet
5. worried
6. Taiwan pr. [qiao3 qiao3]
",11
869,悠久,yōu jiǔ,"1. long (tradition, history etc)
",13
870,悲哀,bēi āi,"1. grieved
2. sorrowful
",11
871,悲惨,bēi cǎn,"1. miserable
2. tragic
",13
872,悲观,bēi guān,"1. pessimistic
",11
873,情况,qíng kuàng,"1. circumstances
2. state of affairs
3. situation
4. CL:個|个[ge4],種|种[zhong3]
",24
874,情景,qíng jǐng,"1. scene
2. sight
3. circumstances
4. CL:個|个[ge4]
",23
875,情绪,qíng xù,"1. mood
2. state of mind
3. moodiness
4. CL:種|种[zhong3]
",24
876,惦记,diàn jì,"1. to think of
2. to keep thinking about
3. to be concerned about
",44
877,惩罚,chéng fá,"1. penalty
2. punishment
3. to punish
",22
878,惭愧,cán kuì,"1. ashamed
",24
879,想念,xiǎng niàn,"1. to miss
2. to remember with longing
3. to long to see again
",34
880,想象,xiǎng xiàng,"1. to imagine
2. to fancy
3. CL:個|个[ge4]
",34
881,愉快,yú kuài,"1. cheerful
2. cheerily
3. delightful
4. pleasant
5. pleasantly
6. pleasing
7. happy
8. delighted
",24
882,意义,yì yì,"1. sense
2. meaning
3. significance
4. importance
5. CL:個|个[ge4]
",44
883,意外,yì wài,"1. unexpected
2. accident
3. mishap
4. CL:個|个[ge4]
",44
884,意见,yì jiàn,"1. idea
2. opinion
3. suggestion
4. objection
5. complaint
6. CL:點|点[dian3],條|条[tiao2]
",44
885,感受,gǎn shòu,"1. to sense
2. perception
3. to feel (through the senses)
4. to experience
5. a feeling
6. an impression
7. an experience
",34
886,感想,gǎn xiǎng,"1. impressions
2. reflections
3. thoughts
4. CL:通[tong4],個|个[ge4]
",33
887,感激,gǎn jī,"1. to be grateful
2. to appreciate
3. thankful
",31
888,愿望,yuàn wàng,"1. desire
2. wish
",44
889,慈善,cí shàn,"1. benevolent
2. charitable
",24
890,慈祥,cí xiáng,"1. kindly
2. benevolent (often of older person)
",22
891,慌张,huāng zhāng,"1. confused
2. flustered
",11
892,慎重,shèn zhòng,"1. cautious
2. careful
3. prudent
",44
893,憋,biē,"1. to choke
2. to stifle
3. to restrain
4. to hold back
5. to hold in (urine)
6. to hold (one's breath)
",1
894,戏剧,xì jù,"1. drama
2. play
3. theater
",44
895,成交,chéng jiāo,"1. to complete a contract
2. to reach a deal
",21
896,成人,chéng rén,"1. adult
",22
897,成分,chéng fèn,"1. composition
2. make-up
3. ingredient
4. element
5. component
6. one's social status
7. CL:個|个[ge4]
",24
898,成员,chéng yuán,"1. member
",22
899,成天,chéng tiān,"1. (coll.) all day long
2. all the time
",21
900,成就,chéng jiù,"1. accomplishment
2. success
3. achievement
4. CL:個|个[ge4]
5. to attain a result
",24
901,成心,chéng xīn,"1. intentional
2. deliberate
3. on purpose
",21
902,成效,chéng xiào,"1. effect
2. result
",24
903,成本,chéng běn,"1. (manufacturing, production etc) costs
",23
904,成果,chéng guǒ,"1. result
2. achievement
3. gain
4. profit
5. CL:個|个[ge4]
",23
905,成熟,chéng shú,"1. mature
2. ripe
3. to mature
4. to ripen
5. Taiwan pr. [cheng2 shou2]
",22
906,成立,chéng lì,"1. to establish
2. to set up
3. to be tenable
4. to hold water
",24
907,成语,chéng yǔ,"1. Chinese set expression, often made up of 4 characters or two couplets of 4 characters each, often alluding to a story or historical quotation
2. idiom
3. proverb
4. saying
5. adage
6. set expression
7. CL:條|条[tiao2],本[ben3],句[ju4]
",23
908,成长,chéng zhǎng,"1. to mature
2. to grow
3. growth
",23
909,戒,jiè,"1. to guard against
2. to exhort
3. to admonish or warn
4. to give up or stop doing sth
5. Buddhist monastic discipline
6. ring (for a finger)
",4
910,戒指,jiè zhi,"1. (finger) ring
",40
911,或许,huò xǔ,"1. perhaps
2. maybe
",43
912,战争,zhàn zhēng,"1. war
2. conflict
3. CL:場|场[chang2],次[ci4]
",41
913,所,suǒ,"1. actually
2. place
3. classifier for houses, small buildings, institutions etc
4. that which
5. particle introducing a relative clause or passive
6. CL:個|个[ge4]
",3
914,所有,suǒ yǒu,"1. all
2. to have
3. to possess
4. to own
",33
915,扁,biǎn,"1. surname Pian
2. flat
3. (coll.) to beat (sb) up
4. old variant of 匾[bian3]
5. small boat
",3
916,扇子,shàn zi,"1. fan
2. CL:把[ba3]
",40
917,手套,shǒu tào,"1. glove
2. mitten
3. CL:雙|双[shuang1],隻|只[zhi1]
",34
918,手工,shǒu gōng,"1. handwork
2. manual
",31
919,手指,shǒu zhǐ,"1. finger
2. CL:個|个[ge4],隻|只[zhi1]
",33
920,手术,shǒu shù,"1. (surgical) operation
2. surgery
3. CL:個|个[ge4]
",34
921,手续,shǒu xù,"1. procedure
2. CL:道[dao4],個|个[ge4]
3. formalities
",34
922,才干,cái gàn,"1. ability
2. competence
",24
923,扒,bā,"1. to peel
2. to skin
3. to tear
4. to pull down
5. to cling to (sth on which one is climbing)
6. to dig
7. to rake up
8. to steal
9. to braise
10. to crawl
",1
924,打仗,dǎ zhàng,"1. to fight a battle
2. to go to war
",34
925,打击,dǎ jī,"1. to hit
2. to strike
3. to attack
4. to crack down on sth
5. blow
6. (psychological) shock
7. percussion (music)
",31
926,打包,dǎ bāo,"1. to wrap
2. to pack
3. to put leftovers in a doggy bag for take-out
",31
927,打听,dǎ ting,"1. to ask about
2. to make some inquiries
3. to ask around
",30
928,打官司,dǎ guān si,"1. to file a lawsuit
2. to sue
3. to dispute
",310
929,打工,dǎ gōng,"1. to work a temporary or casual job
2. (of students) to have a job outside of class time, or during vacation
",31
930,打架,dǎ jià,"1. to fight
2. to scuffle
3. to come to blows
4. CL:場|场[chang2]
",34
931,打量,dǎ liang,"1. to size sb up
2. to look sb up and down
3. to take the measure of
4. to suppose
5. to reckon
",30
932,扔,rēng,"1. to throw
2. to throw away
",1
933,执照,zhí zhào,"1. license
2. permit
",24
934,扩大,kuò dà,"1. to expand
2. to enlarge
3. to broaden one's scope
",44
935,扮演,bàn yǎn,"1. to play the role of
2. to act
",43
936,扶,fú,"1. to support with the hand
2. to help sb up
3. to support oneself by holding onto something
4. to help
",2
937,批,pī,"1. to ascertain
2. to act on
3. to criticize
4. to pass on
5. classifier for batches, lots, military flights
6. tier (for the ranking of universities and colleges)
",1
938,批准,pī zhǔn,"1. to approve
2. to ratify
",13
939,承办,chéng bàn,"1. to undertake
2. to accept a contract
",24
940,承包,chéng bāo,"1. to contract
2. to undertake (a job)
",21
941,承受,chéng shòu,"1. to bear
2. to support
3. to inherit
",24
942,承担,chéng dān,"1. to undertake
2. to assume (responsibility etc)
",21
943,承认,chéng rèn,"1. to admit
2. to concede
3. to recognize
4. recognition (diplomatic, artistic etc)
5. to acknowledge
",24
944,承诺,chéng nuò,"1. to promise
2. to undertake to do something
3. commitment
",24
945,抄,chāo,"1. to make a copy
2. to plagiarize
3. to search and seize
4. to raid
5. to grab
6. to go off with
7. to take a shortcut
8. to make a turning move
9. to fold one's arms
",1
946,把关,bǎ guān,"1. to guard a pass
2. to check on sth
",31
947,把手,bǎ shǒu,"1. handle
2. grip
3. knob
",33
948,把握,bǎ wò,"1. to grasp (also fig.)
2. to seize
3. to hold
4. assurance
5. certainty
6. sure (of the outcome)
",34
949,抓,zhuā,"1. to grab
2. to catch
3. to arrest
4. to snatch
5. to scratch
",1
950,抓紧,zhuā jǐn,"1. to grasp firmly
2. to pay special attention to
3. to rush in
4. to make the most of
",13
951,投入,tóu rù,"1. to throw into
2. to put into
3. to throw oneself into
4. to participate in
5. to invest in
6. absorbed
7. engrossed
",24
952,投资,tóu zī,"1. investment
2. to invest
",21
953,抢,qiǎng,"1. see 搶風|抢风[qiang1 feng1]
2. to fight over
3. to rush
4. to scramble
5. to grab
6. to rob
7. to snatch
",3
954,报仇,bào chóu,"1. to take revenge
2. to avenge
",42
955,报到,bào dào,"1. to report for duty
2. to check in
3. to register
",44
956,报告,bào gào,"1. to inform
2. to report
3. to make known
4. report
5. speech
6. talk
7. lecture
8. CL:篇[pian1],份[fen4],個|个[ge4],通[tong4]
",44
957,报复,bào fù,"1. to make reprisals
2. to retaliate
3. revenge
4. retaliation
",44
958,报社,bào shè,"1. general office of a newspaper
2. newspaper office
3. CL:家[jia1]
",44
959,报答,bào dá,"1. to repay
2. to requite
",42
960,报警,bào jǐng,"1. to sound an alarm
2. to report sth to the police
",43
961,报道,bào dào,"1. to report (news)
2. report
3. CL:篇[pian1],份[fen4]
",44
962,报酬,bào chou,"1. reward
2. remuneration
",40
963,报销,bào xiāo,"1. to submit an expense account
2. to apply for reimbursement
3. to write off
4. to wipe out
",41
964,披,pī,"1. to drape over one's shoulders
2. to open
3. to unroll
4. to split open
5. to spread out
",1
965,抬,tái,"1. to lift
2. to raise
3. (of two or more persons) to carry
",2
966,抱怨,bào yuàn,"1. to complain
2. to grumble
3. to harbor a complaint
4. to feel dissatisfied
",44
967,抱负,bào fù,"1. aspiration
2. ambition
",44
968,抵制,dǐ zhì,"1. to resist
2. to boycott
3. to refuse (to cooperate)
4. to reject
5. resistance
6. refusal
",34
969,抵抗,dǐ kàng,"1. to resist
2. resistance
",34
970,抵达,dǐ dá,"1. to arrive
2. to reach (a destination)
",32
971,押金,yā jīn,"1. deposit
2. down payment
",11
972,抽屉,chōu ti,"1. drawer
",10
973,抽象,chōu xiàng,"1. abstract
2. abstraction
3. CL:種|种[zhong3]
",14
974,担任,dān rèn,"1. to hold a governmental office or post
2. to assume office of
3. to take charge of
4. to serve as
",14
975,担保,dān bǎo,"1. to guarantee
2. to vouch for
",13
976,拆,chāi,"1. to tear open
2. to tear down
3. to tear apart
4. to open
",1
977,拍,pāi,"1. to pat
2. to clap
3. to slap
4. to swat
5. to take (a photo)
6. to shoot (a film)
7. racket (sports)
8. beat (music)
",1
978,拐弯,guǎi wān,"1. to go round a curve
2. to turn a corner
3. fig. a new direction
",31
979,招待,zhāo dài,"1. to receive (guests)
2. to entertain
3. reception
",14
980,招聘,zhāo pìn,"1. to invite applications for a job
2. to recruit
",14
981,拜年,bài nián,"1. to pay a New Year call
2. to wish sb a Happy New Year
",42
